,Book title,Author,Genre,Year of Publication,Country fo Publication,Language of the original
1.,Dracula,Bram Stoker,Gothic horror,1898,United Kingdom,English
2.,Frankenstein,Mary Shelley,Gothic novel,1818,England,English
3.,The Vampyre,John William Polidori,Horror short stroy,1819,England,English
4.,The Picture of Dorian Gray,Oscar Wilde,"Philosophical, gothic fiction",1890,United Kingdom,English
5.,The Phantom of the Opera,Gaston Leroux,Gothuc fiction,1909,France,French
6.,The Hauting of Hill House,Shirley Jackson,"Gothic fiction, psychological horror",1959,United States,English
7.,The Castle of Otranto,Horace Walpole,"Gothic, horror novel",1764,England,English
8.,The Mysteries of Udolpho,Ann Radcliffe,Gothic novel,1794,England,English
9.,Vathek,William Beckford,Gothic novel,1787,United Kingdom,French
10.,The Old English Baron,Clara Reeve,"Horror, Mystery",1778,United Kingdom,English
